N_Features,Accuracy
1,0.09444444444444444
2,0.12333333333333334
3,0.12666666666666668
4,0.15555555555555556
5,0.17222222222222222
6,0.19111111111111112
7,0.22555555555555556
8,0.24888888888888888
9,0.26
10,0.2588888888888889
11,0.2644444444444444
12,0.2822222222222222
13,0.2822222222222222
14,0.2922222222222222
15,0.2922222222222222
16,0.3188888888888889
17,0.3244444444444444
18,0.3466666666666667
19,0.35
20,0.34555555555555556
25,0.3933333333333333
30,0.42444444444444446
35,0.4266666666666667
40,0.43222222222222223
45,0.4411111111111111
50,0.42333333333333334
55,0.42444444444444446
60,0.44333333333333336
