Feature,Importance
You are not too interested in discussing various interpretations and analyses of creative works.,0.031126203
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",0.03040222
You enjoy going to art museums.,0.030252613
You like to have a to-do list for each day.,0.028894816
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,0.027888382
You are prone to worrying that things will take a turn for the worse.,0.027757581
You are more inclined to follow your head than your heart.,0.02737632
Your happiness comes more from helping others accomplish things than your own accomplishments.,0.027099665
You often end up doing things at the last possible moment.,0.027027655
"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",0.026758647
You often have a hard time understanding other people’s feelings.,0.026223715
"You have always been fascinated by the question of what, if anything, happens after death.",0.02616416
You often make a backup plan for a backup plan.,0.02556715
You would pass along a good opportunity if you thought someone else needed it more.,0.0252111
Your mood can change very quickly.,0.025051985
You often feel overwhelmed.,0.024630766
You are definitely not an artistic type of person.,0.024534186
You rarely worry about whether you make a good impression on people you meet.,0.024329547
You find it easy to empathize with a person whose experiences are very different from yours.,0.02419198
"You usually stay calm, even under a lot of pressure",0.023916723
You tend to avoid drawing attention to yourself.,0.023603102
You struggle with deadlines.,0.023237122
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,0.023076447
You avoid making phone calls.,0.022767792
Seeing other people cry can easily make you feel like you want to cry too,0.02272528
"After a long and exhausting week, a lively social event is just what you need.",0.022655442
You are interested in so many things that you find it difficult to choose what to try next.,0.021662476
You rarely second-guess the choices that you have made.,0.021483436
You are still bothered by mistakes that you made a long time ago.,0.021169657
You enjoy watching people argue.,0.020865688
You like books and movies that make you come up with your own interpretation of the ending.,0.020349076
You enjoy participating in group activities.,0.02019082
You like to use organizing tools like schedules and lists.,0.019941194
"In your social circle, you are often the one who contacts your friends and initiates activities.",0.019634217
You feel confident that things will work out for you.,0.019139586
Your emotions control you more than you control them.,0.017589247
You usually prefer to be around others rather than on your own.,0.015530214
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,0.01431547
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",0.014003538
You rarely feel insecure.,0.013816373
You often spend a lot of time trying to understand views that are very different from your own.,0.009930179
You prefer to completely finish one project before starting another.,0.009445544
You would love a job that requires you to work alone most of the time.,0.0030235313
You are very intrigued by things labeled as controversial.,0.002875425
You lose patience with people who are not as efficient as you.,0.0028115015
You prefer to do your chores before allowing yourself to relax.,0.0027956474
You think the world would be a better place if people relied more on rationality and less on their feelings.,0.0027899344
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",0.0027751122
You rarely contemplate the reasons for human existence or the meaning of life.,0.002707966
Even a small mistake can cause you to doubt your overall abilities and knowledge.,0.0026894342
You complete things methodically without skipping over any steps.,0.002678378
You become bored or lose interest when the discussion gets highly theoretical.,0.002676734
You avoid leadership roles in group settings.,0.0026606638
"You take great care not to make people look bad, even when it is completely their fault.",0.0026563213
You know at first glance how someone is feeling.,0.0026162488
You believe that pondering abstract philosophical questions is a waste of time.,0.0026145945
You usually postpone finalizing decisions for as long as possible.,0.0026025944
You spend a lot of your free time exploring various random topics that pique your interest,0.0025589522
You regularly make new friends.,0.0025329753
You are very sentimental.,0.0023966574
