Feature,Importance
Your mood can change very quickly.,0.6400403575455864
You are not too interested in discussing various interpretations and analyses of creative works.,0.6292513017683636
You often end up doing things at the last possible moment.,0.6186521525568128
You find it easy to empathize with a person whose experiences are very different from yours.,0.6131725043038174
You are prone to worrying that things will take a turn for the worse.,0.6072192123183578
You rarely worry about whether you make a good impression on people you meet.,0.604900666839202
You like to have a to-do list for each day.,0.597031984570538
"You have always been fascinated by the question of what, if anything, happens after death.",0.5865023078175484
Your happiness comes more from helping others accomplish things than your own accomplishments.,0.5805701582781329
You often make a backup plan for a backup plan.,0.5789139667321983
You enjoy going to art museums.,0.572116427267349
You often feel overwhelmed.,0.545292590521213
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,0.5439033328194718
You enjoy watching people argue.,0.5396816912114557
You are definitely not an artistic type of person.,0.5349716726054834
You are still bothered by mistakes that you made a long time ago.,0.523781090484402
You would pass along a good opportunity if you thought someone else needed it more.,0.519089095556968
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",0.5161265658629393
"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",0.5110191212529133
You like books and movies that make you come up with your own interpretation of the ending.,0.5068995602650624
"You usually stay calm, even under a lot of pressure",0.5065862125178949
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,0.5038998722857654
"After a long and exhausting week, a lively social event is just what you need.",0.49946460234419326
You struggle with deadlines.,0.4965743075990481
You are more inclined to follow your head than your heart.,0.4926576884121739
"In your social circle, you are often the one who contacts your friends and initiates activities.",0.49173314495252823
You avoid making phone calls.,0.48357339743620836
You often have a hard time understanding other people’s feelings.,0.4748291061742392
You tend to avoid drawing attention to yourself.,0.47418322786607314
You are interested in so many things that you find it difficult to choose what to try next.,0.45391752391261175
Your emotions control you more than you control them.,0.43208780436039107
You rarely second-guess the choices that you have made.,0.4277397803722552
Seeing other people cry can easily make you feel like you want to cry too,0.42760542954116915
You rarely feel insecure.,0.410130375885212
You enjoy participating in group activities.,0.4058902943078927
You often spend a lot of time trying to understand views that are very different from your own.,0.40127183718034876
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,0.3975068602871624
You feel confident that things will work out for you.,0.38234986915072816
You usually prefer to be around others rather than on your own.,0.3743738049446788
You like to use organizing tools like schedules and lists.,0.37100169952321166
You prefer to completely finish one project before starting another.,0.34939191055235275
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",0.31437069822807884
You think the world would be a better place if people relied more on rationality and less on their feelings.,0.028853520592294207
You regularly make new friends.,0.024885452726478463
You are very intrigued by things labeled as controversial.,0.0243007912892381
"You take great care not to make people look bad, even when it is completely their fault.",0.022758514588037813
You become bored or lose interest when the discussion gets highly theoretical.,0.02166775864303095
You are very sentimental.,0.021011042162479957
You spend a lot of your free time exploring various random topics that pique your interest,0.02056009371509491
You avoid leadership roles in group settings.,0.019779837715807456
You complete things methodically without skipping over any steps.,0.01911099145484638
You would love a job that requires you to work alone most of the time.,0.01866496094908595
You know at first glance how someone is feeling.,0.017190754307184416
You believe that pondering abstract philosophical questions is a waste of time.,0.016627644076914645
You lose patience with people who are not as efficient as you.,0.016533938353147426
You usually postpone finalizing decisions for as long as possible.,0.015330064859003087
You rarely contemplate the reasons for human existence or the meaning of life.,0.01520881077036654
You prefer to do your chores before allowing yourself to relax.,0.01472954065610602
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",0.01472222176082793
Even a small mistake can cause you to doubt your overall abilities and knowledge.,0.014593730723115586
