Feature,Importance
You often end up doing things at the last possible moment.,0.5806522361366331
You are not too interested in discussing various interpretations and analyses of creative works.,0.5680192883000402
Your happiness comes more from helping others accomplish things than your own accomplishments.,0.5601330412663983
You rarely worry about whether you make a good impression on people you meet.,0.5458640813112885
Your mood can change very quickly.,0.507186809748304
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,0.5068343159631482
"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",0.5014448550014748
You are more inclined to follow your head than your heart.,0.5001803243118217
You enjoy going to art museums.,0.4961486851078193
You find it easy to empathize with a person whose experiences are very different from yours.,0.4931476140423601
You like to have a to-do list for each day.,0.49174540636317626
"You have always been fascinated by the question of what, if anything, happens after death.",0.4841864819883004
You are prone to worrying that things will take a turn for the worse.,0.4828870894506918
You are definitely not an artistic type of person.,0.47648897902978726
You enjoy watching people argue.,0.4762615799338283
You would pass along a good opportunity if you thought someone else needed it more.,0.4693026003783564
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",0.46582555303513606
You are still bothered by mistakes that you made a long time ago.,0.4655685420906891
You struggle with deadlines.,0.46418595337806023
You often make a backup plan for a backup plan.,0.4603121840141671
You avoid making phone calls.,0.4551580163490363
You like books and movies that make you come up with your own interpretation of the ending.,0.45349595323551445
You are interested in so many things that you find it difficult to choose what to try next.,0.45318685145747034
"In your social circle, you are often the one who contacts your friends and initiates activities.",0.45269692327536376
You often feel overwhelmed.,0.44591732816967866
"You usually stay calm, even under a lot of pressure",0.43414541311430693
Seeing other people cry can easily make you feel like you want to cry too,0.4302199803795394
You usually prefer to be around others rather than on your own.,0.42607011197166517
You often have a hard time understanding other people’s feelings.,0.42346774936356374
You rarely second-guess the choices that you have made.,0.4145188352022403
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,0.40554614070212547
You tend to avoid drawing attention to yourself.,0.38899157133177514
You like to use organizing tools like schedules and lists.,0.38886594875889413
You feel confident that things will work out for you.,0.38876634030596635
"After a long and exhausting week, a lively social event is just what you need.",0.37716073734173544
You enjoy participating in group activities.,0.3699991038875893
You rarely feel insecure.,0.3464329872045819
You prefer to completely finish one project before starting another.,0.3354583153586065
Your emotions control you more than you control them.,0.33435600134772064
You often spend a lot of time trying to understand views that are very different from your own.,0.3301352119074985
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,0.30538569111436625
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",0.27712412555512306
You know at first glance how someone is feeling.,0.04726370942721084
Even a small mistake can cause you to doubt your overall abilities and knowledge.,0.04698073453875792
You believe that pondering abstract philosophical questions is a waste of time.,0.0449464218400656
You regularly make new friends.,0.04443467270287926
You are very sentimental.,0.04093619588147168
You complete things methodically without skipping over any steps.,0.03834879549938675
"You take great care not to make people look bad, even when it is completely their fault.",0.03754924960452184
You lose patience with people who are not as efficient as you.,0.0372208317095871
You would love a job that requires you to work alone most of the time.,0.03694316658691208
You prefer to do your chores before allowing yourself to relax.,0.03514155406097204
You spend a lot of your free time exploring various random topics that pique your interest,0.03461783560868947
You become bored or lose interest when the discussion gets highly theoretical.,0.03197565929043771
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",0.029442353707594418
You are very intrigued by things labeled as controversial.,0.02893373271430389
You usually postpone finalizing decisions for as long as possible.,0.027552764952276848
You think the world would be a better place if people relied more on rationality and less on their feelings.,0.02522596556273318
You rarely contemplate the reasons for human existence or the meaning of life.,0.025136488195782535
You avoid leadership roles in group settings.,0.024254839086205567
