Feature,Importance
You are prone to worrying that things will take a turn for the worse.,0.027725597035432547
You often end up doing things at the last possible moment.,0.027596251125806943
You enjoy going to art museums.,0.02674904931070817
Your happiness comes more from helping others accomplish things than your own accomplishments.,0.02663414312371425
Your mood can change very quickly.,0.026355950208803325
You find it easy to empathize with a person whose experiences are very different from yours.,0.02587677832357178
You like to have a to-do list for each day.,0.025657418951125836
You are not too interested in discussing various interpretations and analyses of creative works.,0.025613879304693457
"At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know",0.025448351339867586
"You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.",0.025266142467244092
You are more inclined to follow your head than your heart.,0.025053940719754725
You often feel overwhelmed.,0.02495739298986402
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.,0.024809623556426706
"You have always been fascinated by the question of what, if anything, happens after death.",0.02475075494449954
You rarely worry about whether you make a good impression on people you meet.,0.024492228722956515
You often have a hard time understanding other people’s feelings.,0.024265038374715685
You struggle with deadlines.,0.024251170240617057
You are still bothered by mistakes that you made a long time ago.,0.023909301436475325
Seeing other people cry can easily make you feel like you want to cry too,0.023895207049000007
You avoid making phone calls.,0.023843878940191323
You enjoy participating in group activities.,0.023806825071487566
You like books and movies that make you come up with your own interpretation of the ending.,0.02376027807121814
You often make a backup plan for a backup plan.,0.02347804814143958
You are definitely not an artistic type of person.,0.023464264679998972
You rarely second-guess the choices that you have made.,0.023351297940705795
You enjoy watching people argue.,0.023191481395586445
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,0.022939355073849314
You would pass along a good opportunity if you thought someone else needed it more.,0.022911567781876255
"You usually stay calm, even under a lot of pressure",0.022880354571394913
You are interested in so many things that you find it difficult to choose what to try next.,0.022720540311109802
"After a long and exhausting week, a lively social event is just what you need.",0.022660708976775492
You like to use organizing tools like schedules and lists.,0.02221032388146082
"In your social circle, you are often the one who contacts your friends and initiates activities.",0.022175512365775085
You tend to avoid drawing attention to yourself.,0.022111888144073118
Your emotions control you more than you control them.,0.02161746449722117
You feel confident that things will work out for you.,0.020820607159049355
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,0.020226897700037664
You usually prefer to be around others rather than on your own.,0.020180283300543684
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",0.019505203514986302
You rarely feel insecure.,0.019475805457269662
You often spend a lot of time trying to understand views that are very different from your own.,0.017821587885867997
You prefer to completely finish one project before starting another.,0.017507060833786888
You usually postpone finalizing decisions for as long as possible.,0.0008322813709455533
You know at first glance how someone is feeling.,0.0008201311222296246
You think the world would be a better place if people relied more on rationality and less on their feelings.,0.0008141790209483349
You believe that pondering abstract philosophical questions is a waste of time.,0.0008066407198964128
Even a small mistake can cause you to doubt your overall abilities and knowledge.,0.0008049646927876746
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",0.000792954082422653
You spend a lot of your free time exploring various random topics that pique your interest,0.0007897025685208934
You lose patience with people who are not as efficient as you.,0.0007891386026629601
You would love a job that requires you to work alone most of the time.,0.000780958706277653
You are very sentimental.,0.0007750856477545555
You regularly make new friends.,0.0007740638821249968
You avoid leadership roles in group settings.,0.0007637050532618106
You become bored or lose interest when the discussion gets highly theoretical.,0.0007627290168228944
"You take great care not to make people look bad, even when it is completely their fault.",0.0007574925271942209
You prefer to do your chores before allowing yourself to relax.,0.000752406970631648
You are very intrigued by things labeled as controversial.,0.0007414148478251144
You complete things methodically without skipping over any steps.,0.0007375756614020811
You rarely contemplate the reasons for human existence or the meaning of life.,0.0007351205853080238
